Date,ATM_ID,Agency,Day_of_Week,Soles_Withdrawn,Dollars_Withdrawn,Event,Holiday,Supply_Cost_Fixed,Supply_Cost_Variable,ATM_Max_Capacity_Soles,ATM_Max_Capacity_Dollars,Opportunity_Cost,Soles_Withdrawn_Lag1,Dollars_Withdrawn_Lag1,Soles_Withdrawn_Lag7,Dollars_Withdrawn_Lag7,Soles_Moving_Avg_7,Dollars_Moving_Avg_7,Total_Withdrawn,Total_Withdrawn_Lag1,Total_Withdrawn_Lag7,Total_Moving_Avg_7
2/7/2023,1,Agency_1,Tuesday,10351,11293,Festival,0,56,21.64,91905,17296,44.98,19820,8129,34327,11014,29998.28571,11817.71429,21644,27949,45341,41816
2/8/2023,1,Agency_1,Wednesday,39848,10474,Sports Event,1,56,50.32,91905,17296,30.8,10351,11293,28212,6204,31660.57143,12427.71429,50322,21644,34416,44088.28571
2/9/2023,1,Agency_1,Thursday,30687,1740,Sports Event,0,56,32.43,91905,17296,41.5,39848,10474,46920,18354,29341.57143,10054.28571,32427,50322,65274,39395.85714
2/10/2023,1,Agency_1,Friday,28351,9713,Festival,0,56,38.07,91905,17296,37.08,30687,1740,19639,7007,30586.14286,10440.85714,38064,32427,26646,41027
2/11/2023,1,Agency_1,Saturday,64090,12261,Concert,1,56,76.35,91905,17296,17.43,28351,9713,34020,6750,34881.85714,11228.14286,76351,38064,40770,46110
2/12/2023,1,Agency_1,Sunday,37339,12363,Sports Event,1,56,49.7,91905,17296,30.74,64090,12261,51026,24987,32926.57143,9424.714286,49702,76351,76013,42351.28571
2/13/2023,1,Agency_1,Monday,36865,9616,Festival,0,56,46.48,91905,17296,32.9,37339,12363,19820,8129,35361.57143,9637.142857,46481,49702,27949,44998.71429
2/14/2023,1,Agency_1,Tuesday,33834,14341,Concert,1,56,48.18,91905,17296,31.1,36865,9616,10351,11293,38716.28571,10072.57143,48175,46481,21644,48788.85714
2/15/2023,1,Agency_1,Wednesday,20485,6937,None,0,56,27.42,91905,17296,42.96,33834,14341,39848,10474,35950.14286,9567.285714,27422,48175,50322,45517.42857
2/16/2023,1,Agency_1,Thursday,16489,4344,None,0,56,20.83,91905,17296,46.77,20485,6937,30687,1740,33921.85714,9939.285714,20833,27422,32427,43861.14286
2/17/2023,1,Agency_1,Friday,35176,4931,Concert,1,56,40.11,91905,17296,37.02,16489,4344,28351,9713,34896.85714,9256.142857,40107,20833,38064,44153
2/18/2023,1,Agency_1,Saturday,33508,10050,None,1,56,43.56,91905,17296,34.27,35176,4931,64090,12261,30528,8940.285714,43558,40107,76351,39468.28571
2/19/2023,1,Agency_1,Sunday,46858,14015,Sports Event,1,56,60.87,91905,17296,24.82,33508,10050,37339,12363,31887.85714,9176.285714,60873,43558,49702,41064.14286
2/20/2023,1,Agency_1,Monday,19384,7068,Festival,0,56,26.45,91905,17296,43.42,46858,14015,36865,9616,29390.57143,8812.285714,26452,60873,46481,38202.85714
2/21/2023,1,Agency_1,Tuesday,23771,4753,None,1,56,28.52,91905,17296,42.85,19384,7068,33834,14341,27953,7442.571429,28524,26452,48175,35395.57143
2/22/2023,1,Agency_1,Wednesday,28789,9873,Festival,0,56,38.66,91905,17296,36.75,23771,4753,20485,6937,29139.28571,7862,38662,28524,27422,37001.28571
2/23/2023,1,Agency_1,Thursday,57388,12730,Festival,1,56,70.12,91905,17296,20.45,28789,9873,16489,4344,34982,9060,70118,38662,20833,44042
2/24/2023,1,Agency_1,Friday,41509,11545,Concert,1,56,53.06,91905,17296,29.22,57388,12730,35176,4931,35886.71429,10004.85714,53054,70118,40107,45891.57143
2/25/2023,1,Agency_1,Saturday,16233,9001,None,1,56,25.24,91905,17296,43.64,41509,11545,33508,10050,33418.85714,9855,25234,53054,43558,43273.85714
2/26/2023,1,Agency_1,Sunday,36541,21936,Concert,0,56,58.48,91905,17296,24.43,16233,9001,46858,14015,31945,10986.57143,58477,25234,60873,42931.57143
2/27/2023,1,Agency_1,Monday,28557,9525,Festival,0,56,38.08,91905,17296,37.11,36541,21936,19384,7068,33255.42857,11337.57143,38082,58477,26452,44593
2/28/2023,1,Agency_1,Tuesday,38660,6335,Concert,1,56,45,91905,17296,34.29,28557,9525,23771,4753,35382.42857,11563.57143,44995,38082,28524,46946
3/1/2023,1,Agency_1,Wednesday,38571,11055,Concert,0,56,49.63,91905,17296,31.04,38660,6335,28789,9873,36779.85714,11732.42857,49626,44995,38662,48512.28571
3/2/2023,1,Agency_1,Thursday,46712,7570,Festival,1,56,54.28,91905,17296,29.4,38571,11055,57388,12730,35254.71429,10995.28571,54282,49626,70118,46250
3/3/2023,1,Agency_1,Friday,27013,2196,None,0,56,29.21,91905,17296,43.02,46712,7570,41509,11545,33183.85714,9659.714286,29209,54282,53054,42843.57143
3/4/2023,1,Agency_1,Saturday,53665,29021,Festival,1,56,82.69,91905,17296,10.91,27013,2196,16233,9001,38531.28571,12519.71429,82686,29209,25234,51051
3/5/2023,1,Agency_1,Sunday,27084,8546,Concert,0,56,35.63,91905,17296,38.54,53665,29021,36541,21936,37180.28571,10606.85714,35630,82686,58477,47787.14286
3/6/2023,1,Agency_1,Monday,30747,6788,Concert,0,56,37.54,91905,17296,37.93,27084,8546,28557,9525,37493.14286,10215.85714,37535,35630,38082,47709
3/7/2023,1,Agency_1,Tuesday,15919,7191,None,1,56,23.11,91905,17296,45.07,30747,6788,38660,6335,34244.42857,10338.14286,23110,37535,44995,44582.57143
3/8/2023,1,Agency_1,Wednesday,14688,5947,None,0,56,20.64,91905,17296,46.55,15919,7191,38571,11055,30832.57143,9608.428571,20635,23110,49626,40441
3/9/2023,1,Agency_1,Thursday,30033,19275,Concert,1,56,49.31,91905,17296,29.55,14688,5947,46712,7570,28449.85714,11280.57143,49308,20635,54282,39730.42857
3/10/2023,1,Agency_1,Friday,31361,10364,Concert,1,56,41.73,91905,17296,35.12,30033,19275,27013,2196,29071,12447.42857,41725,49308,29209,41518.42857
3/11/2023,1,Agency_1,Saturday,43320,5608,Sports Event,0,56,48.93,91905,17296,32.47,31361,10364,53665,29021,27593.14286,9102.714286,48928,41725,82686,36695.85714
3/12/2023,1,Agency_1,Sunday,49460,23557,Concert,1,56,73.02,91905,17296,16.84,43320,5608,27084,8546,30789.71429,11247.14286,73017,48928,35630,42036.85714
3/13/2023,1,Agency_1,Monday,23325,12778,Sports Event,1,56,36.1,91905,17296,37.45,49460,23557,30747,6788,29729.42857,12102.85714,36103,73017,37535,41832.28571
3/14/2023,1,Agency_1,Tuesday,41533,15619,Sports Event,1,56,57.15,91905,17296,26.36,23325,12778,15919,7191,33388.57143,13306.85714,57152,36103,23110,46695.42857
3/15/2023,1,Agency_1,Wednesday,13815,2359,None,0,56,16.17,91905,17296,49.5,41533,15619,14688,5947,33263.85714,12794.28571,16174,57152,20635,46058.14286
3/16/2023,1,Agency_1,Thursday,33913,9508,Concert,0,56,43.42,91905,17296,34.45,13815,2359,30033,19275,33818.14286,11399,43421,16174,49308,45217.14286
3/17/2023,1,Agency_1,Friday,31878,9676,Festival,0,56,41.55,91905,17296,35.35,33913,9508,31361,10364,33892,11300.71429,41554,43421,41725,45192.71429
3/18/2023,1,Agency_1,Saturday,29878,12075,Concert,0,56,41.95,91905,17296,34.67,31878,9676,43320,5608,31971.71429,12224.57143,41953,41554,48928,44196.28571
3/19/2023,1,Agency_1,Sunday,25758,4642,None,0,56,30.4,91905,17296,41.93,29878,12075,49460,23557,28585.71429,9522.428571,30400,41953,73017,38108.14286
3/20/2023,1,Agency_1,Monday,29328,5947,None,0,56,35.27,91905,17296,39.23,25758,4642,23325,12778,29443.28571,8546.571429,35275,30400,36103,37989.85714
3/21/2023,1,Agency_1,Tuesday,14043,6313,None,0,56,20.36,91905,17296,46.62,29328,5947,41533,15619,25516.14286,7217.142857,20356,35275,57152,32733.28571
3/22/2023,1,Agency_1,Wednesday,22689,11175,Festival,0,56,33.86,91905,17296,38.89,14043,6313,13815,2359,26783.85714,8476.571429,33864,20356,16174,35260.42857
3/23/2023,1,Agency_1,Thursday,50294,7992,Concert,1,56,58.29,91905,17296,27.32,22689,11175,33913,9508,29124,8260,58286,33864,43421,37384
3/24/2023,1,Agency_1,Friday,37224,9902,Sports Event,0,56,47.13,91905,17296,32.52,50294,7992,31878,9676,29887.71429,8292.285714,47126,58286,41554,38180
3/25/2023,1,Agency_1,Saturday,56417,27205,Concert,1,56,83.62,91905,17296,10.81,37224,9902,29878,12075,33679,10453.71429,83622,47126,41953,44132.71429
3/26/2023,1,Agency_1,Sunday,43928,10804,Concert,1,56,54.73,91905,17296,28.53,56417,27205,25758,4642,36274.71429,11334,54732,83622,30400,47608.71429
3/27/2023,1,Agency_1,Monday,23328,5725,Sports Event,0,56,29.05,91905,17296,42.39,43928,10804,29328,5947,35417.57143,11302.28571,29053,54732,35275,46719.85714
3/28/2023,1,Agency_1,Tuesday,19614,5682,None,0,56,25.3,91905,17296,44.28,23328,5725,14043,6313,36213.42857,11212.14286,25296,29053,20356,47425.57143
3/29/2023,1,Agency_1,Wednesday,41696,15836,Sports Event,1,56,57.53,91905,17296,26.13,19614,5682,22689,11175,38928.71429,11878,57532,25296,33864,50806.71429
3/30/2023,1,Agency_1,Thursday,39126,18818,Sports Event,1,56,57.95,91905,17296,25.32,41696,15836,50294,7992,37333.28571,13424.57143,57944,57532,58286,50757.85714
3/31/2023,1,Agency_1,Friday,28014,17748,Sports Event,0,56,45.76,91905,17296,31.63,39126,18818,37224,9902,36017.57143,14545.42857,45762,57944,47126,50563
4/1/2023,1,Agency_1,Saturday,27753,4270,None,0,56,32.02,91905,17296,41.19,28014,17748,56417,27205,31922.71429,11269,32023,45762,83622,43191.71429
4/2/2023,1,Agency_1,Sunday,34269,18452,Sports Event,1,56,52.72,91905,17296,28.01,27753,4270,43928,10804,30542.85714,12361.57143,52721,32023,54732,42904.42857
4/3/2023,1,Agency_1,Monday,18882,6428,None,0,56,25.31,91905,17296,44.12,34269,18452,23328,5725,29907.71429,12462,25310,52721,29053,42369.71429
4/4/2023,1,Agency_1,Tuesday,33549,8251,Concert,0,56,41.8,91905,17296,35.51,18882,6428,19614,5682,31898.42857,12829,41800,25310,25296,44727.42857
4/5/2023,1,Agency_1,Wednesday,23649,3349,Sports Event,0,56,27,91905,17296,43.89,33549,8251,41696,15836,29320.28571,11045.14286,26998,41800,57532,40365.42857
4/6/2023,1,Agency_1,Thursday,26650,11410,Sports Event,0,56,38.06,91905,17296,36.75,23649,3349,39126,18818,27538,9986.857143,38060,26998,57944,37524.85714
4/7/2023,1,Agency_1,Friday,41086,5969,Festival,1,56,47.06,91905,17296,33.34,26650,11410,28014,17748,29405.42857,8304.142857,47055,38060,45762,37709.57143
4/8/2023,1,Agency_1,Saturday,37557,12751,Concert,0,56,50.31,91905,17296,30.36,41086,5969,27753,4270,30806,9515.714286,50308,47055,32023,40321.71429
4/9/2023,1,Agency_1,Sunday,28044,11728,Sports Event,0,56,39.77,91905,17296,35.83,37557,12751,34269,18452,29916.71429,8555.142857,39772,50308,52721,38471.85714
4/10/2023,1,Agency_1,Monday,20291,2714,None,0,56,23,91905,17296,46.01,28044,11728,18882,6428,30118,8024.571429,23005,39772,25310,38142.57143
4/11/2023,1,Agency_1,Tuesday,21788,6121,None,0,56,27.91,91905,17296,42.88,20291,2714,33549,8251,28437.85714,7720.285714,27909,23005,41800,36158.14286
4/12/2023,1,Agency_1,Wednesday,49559,16914,Concert,1,56,66.47,91905,17296,21.44,21788,6121,23649,3349,32139.28571,9658.142857,66473,27909,26998,41797.42857
4/13/2023,1,Agency_1,Thursday,25566,7435,Sports Event,1,56,33,91905,17296,40.07,49559,16914,26650,11410,31984.42857,9090.285714,33001,66473,38060,41074.71429
4/14/2023,1,Agency_1,Friday,44021,14344,Concert,1,56,58.37,91905,17296,26.01,25566,7435,41086,5969,32403.71429,10286.71429,58365,33001,47055,42690.42857
4/15/2023,1,Agency_1,Saturday,27090,16516,None,0,56,43.61,91905,17296,32.95,44021,14344,37557,12751,30908.42857,10824.57143,43606,58365,50308,41733
4/16/2023,1,Agency_1,Sunday,41137,16068,Sports Event,0,56,57.21,91905,17296,26.24,27090,16516,28044,11728,32778.85714,11444.57143,57205,43606,39772,44223.42857
4/17/2023,1,Agency_1,Monday,48301,14998,Sports Event,1,56,63.3,91905,17296,23.41,41137,16068,20291,2714,36780.28571,13199.42857,63299,57205,23005,49979.71429
4/18/2023,1,Agency_1,Tuesday,35924,15510,Sports Event,1,56,51.44,91905,17296,29.24,48301,14998,21788,6121,38799.71429,14540.71429,51434,63299,27909,53340.42857
4/19/2023,1,Agency_1,Wednesday,31463,10771,Sports Event,1,56,42.24,91905,17296,34.79,35924,15510,49559,16914,36214.57143,13663.14286,42234,51434,66473,49877.71429
4/20/2023,1,Agency_1,Thursday,26359,8777,Concert,0,56,35.14,91905,17296,38.74,31463,10771,25566,7435,36327.85714,13854.85714,35136,42234,33001,50182.71429
4/21/2023,1,Agency_1,Friday,47359,2150,Festival,0,56,49.51,91905,17296,32.87,26359,8777,44021,14344,36804.71429,12112.85714,49509,35136,58365,48917.57143
4/22/2023,1,Agency_1,Saturday,28117,2306,None,0,56,30.42,91905,17296,42.39,47359,2150,27090,16516,36951.42857,10082.85714,30423,49509,43606,47034.28571
4/23/2023,1,Agency_1,Sunday,31752,15861,Festival,0,56,47.61,91905,17296,31.08,28117,2306,41137,16068,35610.71429,10053.28571,47613,30423,57205,45664
4/24/2023,1,Agency_1,Monday,26417,3981,None,1,56,30.4,91905,17296,42.06,31752,15861,48301,14998,32484.42857,8479.428571,30398,47613,63299,40963.85714
4/25/2023,1,Agency_1,Tuesday,24634,10810,Concert,0,56,35.44,91905,17296,38.18,26417,3981,35924,15510,30871.57143,7808,35444,30398,51434,38679.57143
4/26/2023,1,Agency_1,Wednesday,16348,5432,None,0,56,21.78,91905,17296,46.08,24634,10810,31463,10771,28712.28571,7045.285714,21780,35444,42234,35757.57143
4/27/2023,1,Agency_1,Thursday,20227,3696,None,0,56,23.92,91905,17296,45.36,16348,5432,26359,8777,27836.28571,6319.428571,23923,21780,35136,34155.71429
4/28/2023,1,Agency_1,Friday,59902,14915,Concert,1,56,74.82,91905,17296,17.67,20227,3696,47359,2150,29628.14286,8143,74817,23923,49509,37771.14286
4/29/2023,1,Agency_1,Saturday,11848,6983,None,0,56,18.83,91905,17296,47.25,59902,14915,28117,2306,27304,8811.142857,18831,74817,30423,36115.14286
4/30/2023,1,Agency_1,Sunday,20029,8715,None,0,56,28.74,91905,17296,41.94,11848,6983,31752,15861,25629.28571,7790.285714,28744,18831,47613,33419.57143
5/1/2023,1,Agency_1,Monday,31272,11352,Sports Event,1,56,42.62,91905,17296,34.48,20029,8715,26417,3981,26322.85714,8843.285714,42624,28744,30398,35166.14286
5/2/2023,1,Agency_1,Tuesday,33786,11442,Festival,0,56,45.23,91905,17296,33.16,31272,11352,24634,10810,27630.28571,8933.571429,45228,42624,35444,36563.85714
5/3/2023,1,Agency_1,Wednesday,20997,7361,Festival,0,56,28.36,91905,17296,42.41,33786,11442,16348,5432,28294.42857,9209.142857,28358,45228,21780,37503.57143
5/4/2023,1,Agency_1,Thursday,34368,8789,Festival,1,56,43.16,91905,17296,34.72,20997,7361,20227,3696,30314.57143,9936.714286,43157,28358,23923,40251.28571
5/5/2023,1,Agency_1,Friday,56212,13825,Concert,1,56,70.04,91905,17296,20.28,34368,8789,59902,14915,29787.42857,9781,70037,43157,74817,39568.42857
5/6/2023,1,Agency_1,Saturday,32046,21147,Sports Event,1,56,53.19,91905,17296,27.23,56212,13825,11848,6983,32672.85714,11804.42857,53193,70037,18831,44477.28571
5/7/2023,1,Agency_1,Sunday,36732,9183,None,0,56,45.92,91905,17296,33.27,32046,21147,20029,8715,35059,11871.28571,45915,53193,28744,46930.28571
5/8/2023,1,Agency_1,Monday,18604,6852,Sports Event,0,56,25.46,91905,17296,43.96,36732,9183,31272,11352,33249.28571,11228.42857,25456,45915,42624,44477.71429
5/9/2023,1,Agency_1,Tuesday,26334,3584,None,0,56,29.92,91905,17296,42.38,18604,6852,33786,11442,32184.71429,10105.85714,29918,25456,45228,42290.57143
5/10/2023,1,Agency_1,Wednesday,33328,11133,Festival,0,56,44.46,91905,17296,33.6,26334,3584,20997,7361,33946.28571,10644.71429,44461,29918,28358,44591
5/11/2023,1,Agency_1,Thursday,23047,8296,Festival,0,56,31.34,91905,17296,40.73,33328,11133,34368,8789,32329,10574.28571,31343,44461,43157,42903.28571
5/12/2023,1,Agency_1,Friday,7396,7023,Concert,1,56,14.42,91905,17296,49.45,23047,8296,56212,13825,25355.28571,9602.571429,14419,31343,70037,34957.85714
5/13/2023,1,Agency_1,Saturday,33726,5533,Festival,0,56,39.26,91905,17296,37.32,7396,7023,32046,21147,25595.28571,7372,39259,14419,53193,32967.28571
5/14/2023,1,Agency_1,Sunday,65899,6618,Sports Event,1,56,72.52,91905,17296,20.48,33726,5533,36732,9183,29762,7005.571429,72517,39259,45915,36767.57143
5/15/2023,1,Agency_1,Monday,23138,7365,None,1,56,30.5,91905,17296,41.33,65899,6618,18604,6852,30409.71429,7078.857143,30503,72517,25456,37488.57143
5/16/2023,1,Agency_1,Tuesday,27206,2128,None,0,56,29.33,91905,17296,42.97,23138,7365,26334,3584,30534.28571,6870.857143,29334,30503,29918,37405.14286
5/17/2023,1,Agency_1,Wednesday,38722,8534,Festival,0,56,47.26,91905,17296,32.72,27206,2128,33328,11133,31304.85714,6499.571429,47256,29334,44461,37804.42857
5/18/2023,1,Agency_1,Thursday,15092,5924,None,0,56,21.02,91905,17296,46.37,38722,8534,23047,8296,30168.42857,6160.714286,21016,47256,31343,36329.14286
5/19/2023,1,Agency_1,Friday,40940,9041,Festival,1,56,49.98,91905,17296,31.26,15092,5924,7396,7023,34960.42857,6449,49981,21016,14419,41409.42857
5/20/2023,1,Agency_1,Saturday,47616,13084,Concert,1,56,60.7,91905,17296,25.09,40940,9041,33726,5533,36944.71429,7527.714286,60700,49981,39259,44472.42857
5/21/2023,1,Agency_1,Sunday,48126,19566,Concert,1,56,67.69,91905,17296,20.3,47616,13084,65899,6618,34405.71429,9377.428571,67692,60700,72517,43783.14286
5/22/2023,1,Agency_1,Monday,54463,6007,Sports Event,1,56,60.47,91905,17296,26.62,48126,19566,23138,7365,38880.71429,9183.428571,60470,67692,30503,48064.14286
5/23/2023,1,Agency_1,Tuesday,30665,1095,None,0,56,31.76,91905,17296,41.96,54463,6007,27206,2128,39374.85714,9035.857143,31760,60470,29334,48410.71429
5/24/2023,1,Agency_1,Wednesday,37519,14698,Sports Event,1,56,52.22,91905,17296,29.01,30665,1095,38722,8534,39203,9916.428571,52217,31760,47256,49119.42857
5/25/2023,1,Agency_1,Thursday,21404,3754,None,0,56,25.16,91905,17296,44.73,37519,14698,15092,5924,40104.71429,9606.428571,25158,52217,21016,49711.14286
5/26/2023,1,Agency_1,Friday,28438,6822,Festival,0,56,35.26,91905,17296,39.06,21404,3754,40940,9041,38318.71429,9289.428571,35260,25158,49981,47608.14286
5/27/2023,1,Agency_1,Saturday,30695,14804,Festival,0,56,45.5,91905,17296,32.35,28438,6822,47616,13084,35901.42857,9535.142857,45499,35260,60700,45436.57143
5/28/2023,1,Agency_1,Sunday,50976,11181,Sports Event,1,56,62.16,91905,17296,24.74,30695,14804,48126,19566,36308.57143,8337.285714,62157,45499,67692,44645.85714
5/29/2023,1,Agency_1,Monday,24497,5614,None,0,56,30.11,91905,17296,41.88,50976,11181,54463,6007,32027.71429,8281.142857,30111,62157,60470,40308.85714
5/30/2023,1,Agency_1,Tuesday,24064,6259,None,0,56,30.32,91905,17296,41.65,24497,5614,30665,1095,31084.71429,9018.857143,30323,30111,31760,40103.57143
5/31/2023,1,Agency_1,Wednesday,20611,5430,None,1,56,26.04,91905,17296,43.95,24064,6259,37519,14698,28669.28571,7694.857143,26041,30323,52217,36364.14286
6/1/2023,1,Agency_1,Thursday,46285,14803,Concert,1,56,61.09,91905,17296,24.55,20611,5430,21404,3754,32223.71429,9273.285714,61088,26041,25158,41497
6/2/2023,1,Agency_1,Friday,29842,8897,Concert,0,56,38.74,91905,17296,36.91,46285,14803,28438,6822,32424.28571,9569.714286,38739,61088,35260,41994
6/3/2023,1,Agency_1,Saturday,61747,11806,Festival,1,56,73.55,91905,17296,18.92,29842,8897,30695,14804,36860.28571,9141.428571,73553,38739,45499,46001.71429
6/4/2023,1,Agency_1,Sunday,35466,8362,None,1,56,43.83,91905,17296,34.47,61747,11806,50976,11181,34644.57143,8738.714286,43828,73553,62157,43383.28571
6/5/2023,1,Agency_1,Monday,28366,12234,Concert,0,56,40.6,91905,17296,35.31,35466,8362,24497,5614,35197.28571,9684.428571,40600,43828,30111,44881.71429
6/6/2023,1,Agency_1,Tuesday,31365,9277,None,1,56,40.64,91905,17296,35.88,28366,12234,24064,6259,36240.28571,10115.57143,40642,40600,30323,46355.85714
6/7/2023,1,Agency_1,Wednesday,39790,8571,Sports Event,0,56,48.36,91905,17296,32.16,31365,9277,20611,5430,38980.14286,10564.28571,48361,40642,26041,49544.42857
6/8/2023,1,Agency_1,Thursday,35113,7444,Concert,0,56,42.56,91905,17296,35.29,39790,8571,46285,14803,37384.14286,9513,42557,48361,61088,46897.14286
6/9/2023,1,Agency_1,Friday,42159,11278,Concert,1,56,53.44,91905,17296,29.09,35113,7444,29842,8897,39143.71429,9853.142857,53437,42557,38739,48996.85714
6/10/2023,1,Agency_1,Saturday,24580,8047,None,0,56,32.63,91905,17296,40.14,42159,11278,61747,11806,33834.14286,9316.142857,32627,53437,73553,43150.28571
6/11/2023,1,Agency_1,Sunday,37224,28415,Festival,1,56,65.64,91905,17296,19.56,24580,8047,35466,8362,34085.28571,12180.85714,65639,32627,43828,46266.14286
6/12/2023,1,Agency_1,Monday,29189,6118,Concert,1,56,35.31,91905,17296,39.18,37224,28415,28366,12234,34202.85714,11307.14286,35307,65639,40600,45510
6/13/2023,1,Agency_1,Tuesday,38685,11191,Concert,0,56,49.88,91905,17296,30.88,29189,6118,31365,9277,35248.57143,11580.57143,49876,35307,40642,46829.14286
